farmer_age,years_experience,land_acres,annual_farm_revenue,alt_income_source,alt_annual_income,total_annual_income,collateral_type,collateral_value,credit_score,loan_amount_requested,approved
23,0,48.88,1530897.17,Poultry,165970.39,1696867.56,Land Title Deeds,4418978.02,537,1283684.76,1
39,16,78.1,3077816.39,None,0,3077816.39,None,0,557,1963035.22,0
27,5,22.04,723486.11,Retail Shop,77670.33,801156.44,None,0,540,574939.57,0
68,44,7.92,224962.61,None,0,224962.61,Land Title Deeds,504685.05,727,264780.82,1
52,30,82.68,2090238.26,Retail Shop,59438.86,2149677.12,Land Title Deeds,6076297.8,657,2142913.2,1
22,1,90,2338699.97,None,0,2338699.97,Gold/Jewelry,104767.64,795,2263529.58,1
25,2,9.03,220284.83,Agri-Services,65799.04,286083.87,Land Title Deeds,721289.46,698,297313.35,1
52,28,21.61,736399.03,Poultry,215571.64,951970.67,Land Title Deeds,1161849.43,669,597362.58,1
33,9,38.14,1186855.84,Poultry,138133.47,1324989.31,Land Title Deeds,2074642.45,754,1040206.61,1
28,8,9.57,263501.19,None,0,263501.19,Land Title Deeds,658083.21,418,266937.4,1
29,8,93.89,2714330.83,Agri-Services,65406.38,2779737.21,Land Title Deeds,8134363.21,626,2426345.32,1
22,1,66.1,2439860.98,Retail Shop,67349.11,2507210.09,Tractor/Machinery,487862.19,600,1670458.84,0
50,29,64.29,2432642.42,Dairy,66665.75,2499308.17,Land Title Deeds,5451218.34,646,1636932.8,1
46,25,32.05,1409688.42,None,0,1409688.42,Land Title Deeds,3009533.45,651,838344.39,1
62,38,71.64,1971652.47,Dairy,86124.82,2057777.29,Land Title Deeds,7141198.48,546,1845438.01,1
47,25,76.25,3117651.36,Government Pension,54473.99,3172125.36,Land Title Deeds,6689008.85,515,1954943.77,1
62,40,19.5,573043.27,None,0,573043.27,Land Title Deeds,1089009.25,570,505903.76,1
69,46,22.95,634676.01,Government Pension,125194.82,759870.83,Land Title Deeds,1337252.74,512,600648.95,1
70,48,33.04,811046.46,Dairy,192951.01,1003997.48,Gold/Jewelry,809190.39,527,896744.56,1
70,48,63.06,1667382.98,Retail Shop,128842.1,1796225.07,Land Title Deeds,3924359.05,604,1666335.11,1
23,3,23.68,851539.05,Dairy,156926.39,1008465.44,Land Title Deeds,1587761.66,583,652090.39,1
62,42,41.89,1178151.71,Poultry,149507.34,1327659.05,Land Title Deeds,3343844.42,656,1140086.98,1
66,44,41.92,1033508.73,Dairy,170226.98,1203735.71,Land Title Deeds,3150446.18,693,1063586.63,1
65,42,42.64,982604.19,Retail Shop,124821.78,1107425.97,Land Title Deeds,3146415.72,785,1102671.17,1
69,45,60.45,1325413.94,Retail Shop,43772.44,1369186.38,Land Title Deeds,3533724.96,734,1587240.41,1
72,48,42.36,1410286.69,None,0,1410286.69,Land Title Deeds,2704173.11,770,1155111.27,1
26,2,81.14,3461696.92,None,0,3461696.92,Land Title Deeds,7227754.03,842,2124020.99,1
42,18,76.62,2540384.03,Retail Shop,133326.88,2673710.9,Fixed Deposit,203453.44,690,1932144.68,1
72,50,2.12,50315.12,Agri-Services,45201.05,95516.17,Land Title Deeds,129402.43,637,65784.13,1
48,24,58.25,1361813.92,Poultry,285050.11,1646864.03,Gold/Jewelry,320638.6,609,1498418.14,1
70,49,12.59,376789.89,Dairy,68522.04,445311.93,Land Title Deeds,987703.96,751,326300.33,1
63,39,42.79,1471794.21,None,0,1471794.21,Gold/Jewelry,495945.71,701,1143492.62,1
53,31,50.25,1501631.9,None,0,1501631.9,Gold/Jewelry,758592.59,544,1275875.69,0
25,4,34.08,671541.05,None,0,671541.05,Land Title Deeds,1780369.54,775,917762.77,1
35,13,16.72,558250.92,None,0,558250.92,Land Title Deeds,1501645.71,649,493072.11,1
37,15,2.6,80733.55,Dairy,173265.15,253998.71,Land Title Deeds,221365.34,807,83471.61,1
43,19,72.92,1448873.29,None,0,1448873.29,Land Title Deeds,4825730.03,558,1902721.39,1
50,26,53.11,1854248.87,None,0,1854248.87,Land Title Deeds,3412821.34,847,1388045.03,1
50,30,39.01,1450039.96,Agri-Services,100122.03,1550161.99,Tractor/Machinery,1003171.09,592,1057907.27,1
42,19,97.94,1590445.84,None,0,1590445.84,Land Title Deeds,9019937.58,850,2488353.48,1
61,37,15.72,650148.51,None,0,650148.51,Land Title Deeds,1413796.83,749,477039.61,1
22,0,64.99,2154180.87,None,0,2154180.87,Gold/Jewelry,673947.77,674,1653616.26,0
61,41,90.47,2073180.07,Dairy,160504.35,2233684.42,Land Title Deeds,4781811.14,768,2274603.01,1
59,37,54.15,1351334.31,None,0,1351334.31,Land Title Deeds,3495468.8,620,1443775.47,1
61,40,63.58,1356484.63,Dairy,163497.63,1519982.26,None,0,840,1651953.57,0
37,14,32.99,1261806.78,Poultry,204914.27,1466721.05,Land Title Deeds,2731487.3,704,862192.63,1
67,43,95.35,1970609.93,Dairy,60008.35,2030618.28,Land Title Deeds,8062775.96,810,2479386.78,1
74,50,99.87,2963118.44,Government Pension,138880.72,3101999.16,Land Title Deeds,7564819.84,586,2588582.44,1
60,36,3.74,119251.72,None,0,119251.72,Gold/Jewelry,542351.82,635,111924.54,1
69,47,28.67,834368.3,None,0,834368.3,Tractor/Machinery,591059.49,758,772094.26,1
51,27,93.28,2134884.91,None,0,2134884.91,Gold/Jewelry,260412.15,625,2378698.72,1
47,25,77.09,2414975.75,Poultry,150417.03,2565392.77,Land Title Deeds,3926409.99,500,2016426.44,1
49,28,45.52,680811.58,None,0,680811.58,Land Title Deeds,4232674.34,717,1205428.07,1
73,50,89.92,3224527.33,Dairy,83959.84,3308487.18,Land Title Deeds,4607492.4,822,2323359.93,1
43,20,46.6,1703603.52,Dairy,93683.58,1797287.11,Land Title Deeds,2580179.72,761,1193810.15,1
25,4,86.17,2718963.63,None,0,2718963.63,Land Title Deeds,6701950.57,719,2164694.43,1
42,20,73.31,2572545.91,Dairy,99253.6,2671799.51,Land Title Deeds,6004703.68,568,1880967.26,1
45,24,62.01,2128589.3,Government Pension,128207.8,2256797.1,Fixed Deposit,154012.6,709,1608865.62,1
61,37,18.04,785999.91,Agri-Services,49254.29,835254.2,Land Title Deeds,1117369.32,568,548904.93,1
32,8,41.69,1159049.41,None,0,1159049.41,Tractor/Machinery,404412.74,850,1121906.31,1
34,14,19.86,551329.37,None,0,551329.37,Land Title Deeds,1863231.16,617,565798.14,1
75,50,39.94,1145097.43,Agri-Services,108731.11,1253828.54,Gold/Jewelry,379181.71,641,1015966.63,1
52,30,78.26,2821226.86,Government Pension,109781.56,2931008.42,Land Title Deeds,5342361.15,520,2024793.19,1
48,26,60.28,1079721.31,None,0,1079721.31,Tractor/Machinery,1354468.56,786,1536571.31,1
54,32,44.63,1525111.02,Dairy,164159.91,1689270.94,Land Title Deeds,4239501.87,521,1212454.75,1
31,10,87.22,3185628.63,None,0,3185628.63,Land Title Deeds,8476298.11,655,2278970.33,1
24,0,32.1,1133421.12,None,0,1133421.12,Land Title Deeds,2450544.41,736,891959.83,1
50,26,16.54,301836.52,None,0,301836.52,Tractor/Machinery,1474575.58,719,504624.72,1
62,42,98.91,1740593.86,Agri-Services,44610.11,1785203.97,Gold/Jewelry,378984.07,758,2499889.17,1
71,50,64.48,1994752.05,Dairy,141128.16,2135880.21,Land Title Deeds,5426084.75,654,1696143.52,1
63,41,14.07,516603.48,None,0,516603.48,Land Title Deeds,809964.21,679,405115.07,1
34,14,34.02,956712.09,Agri-Services,89536.89,1046248.98,Fixed Deposit,86603.24,562,913312.19,1
72,49,86.7,2847073.98,None,0,2847073.98,Land Title Deeds,5974998.36,498,2195584.08,1
45,22,97.23,2732509.19,None,0,2732509.19,Land Title Deeds,5240019.87,717,2444918.78,1
42,20,31.79,791089.89,Government Pension,61442.74,852532.63,Land Title Deeds,2813351.47,550,840881.15,1
56,34,43.88,1348074.65,None,0,1348074.65,Land Title Deeds,4364760.28,658,1107336.69,1
55,35,22.93,545508.96,None,0,545508.96,Land Title Deeds,1593810,605,638499.4,1
22,1,68.01,2674481.15,Dairy,60479.86,2734961,Land Title Deeds,3922910.95,468,1786791.05,1
21,0,24.28,491691.9,None,0,491691.9,Land Title Deeds,1942410.79,476,641485.66,1
75,50,15.61,588773.52,Dairy,168124.75,756898.28,Land Title Deeds,1145604.86,518,451028.63,1
71,50,52.63,1624991.06,None,0,1624991.06,Land Title Deeds,5254354.92,635,1361385.22,1
44,21,48.12,1546701.38,Poultry,280091.42,1826792.8,Land Title Deeds,4068126.62,560,1267192.08,1
55,33,88.64,2729864.63,Retail Shop,141245.6,2871110.23,Land Title Deeds,8517542.79,658,2272519.84,1
33,13,80.61,3028677.63,None,0,3028677.63,Land Title Deeds,5478622.99,584,2085949.72,1
33,11,31.99,1085025.98,None,0,1085025.98,Land Title Deeds,2877689.6,617,813167.54,1
36,13,81.61,2482859.97,Agri-Services,113266.58,2596126.56,Land Title Deeds,4946657.45,708,2113192.42,1
34,13,90.59,2747559.98,Retail Shop,45891.02,2793451,Gold/Jewelry,516669.71,591,2333306.99,0
60,37,45.53,1449544.3,Government Pension,99459.04,1549003.35,Land Title Deeds,3424355.17,816,1158389.04,1
26,2,75.85,1469663.33,Retail Shop,59706.11,1529369.43,Tractor/Machinery,422140.34,545,1951287.43,0
54,33,24.99,1046155.32,Poultry,269124.48,1315279.81,Land Title Deeds,2038380.76,596,706654.54,1
44,22,96.54,1999445.86,Dairy,100002.73,2099448.59,Land Title Deeds,9056068.57,780,2497206.88,1
44,24,96.17,2343678.27,None,0,2343678.27,Gold/Jewelry,114524.74,691,2474277.21,1
37,16,70.29,1534648.75,Dairy,113449.72,1648098.47,Land Title Deeds,4203435.88,572,1802899.36,1
38,16,76.13,1719311.34,None,0,1719311.34,Land Title Deeds,7229640.35,610,1941889.77,1
24,0,9.56,341688.81,None,0,341688.81,Land Title Deeds,657573.51,763,253820.23,1
66,43,84.66,2275672.38,None,0,2275672.38,Land Title Deeds,5169875.4,582,2130579.76,1
44,20,47,1597644.91,Retail Shop,61854.47,1659499.38,Gold/Jewelry,496469.21,548,1192742.31,1
72,50,47.11,1437255.62,None,0,1437255.62,Land Title Deeds,2989326.79,703,1239973.44,1
26,5,40.82,1623277.16,None,0,1623277.16,Land Title Deeds,4070313.71,571,1083151.71,1
66,42,7.38,211899.05,Poultry,119859.03,331758.09,Land Title Deeds,450554.79,760,260020.04,1
67,45,96.42,3380047.66,Dairy,156163.37,3536211.03,Land Title Deeds,9125099.9,637,2473435.98,1
33,12,25.78,1137502.99,None,0,1137502.99,Land Title Deeds,2196248.19,460,684740.59,1
43,20,32.52,913276.8,Agri-Services,85994.15,999270.95,Land Title Deeds,2623454.54,597,876670.1,1
58,36,96.89,3734951.03,None,0,3734951.03,Land Title Deeds,9057116.67,462,2498072.37,1
48,26,56.77,2071983.57,None,0,2071983.57,Tractor/Machinery,1473628.8,488,1495764.08,0
70,47,78.3,3336375.32,None,0,3336375.32,Gold/Jewelry,395954.08,711,2033255.8,1
69,45,49.98,1190214.36,Agri-Services,40870.37,1231084.73,Fixed Deposit,332071.25,606,1313213.43,1
23,0,59.58,2411518.99,None,0,2411518.99,Land Title Deeds,5743248.58,693,1586732.34,1
23,0,60.98,1259807.39,Dairy,73728.09,1333535.48,Land Title Deeds,3338866.59,507,1544550.46,1
37,14,96.28,2905428.7,Poultry,291529.8,3196958.5,Fixed Deposit,431276.02,603,2429915.61,1
47,27,71.52,2737884.64,Retail Shop,75548.18,2813432.82,None,0,692,1835887.33,0
34,12,26.35,812391.06,Dairy,165118.41,977509.47,Land Title Deeds,1817020.18,727,736666.36,1
45,24,72.5,2501846.62,Agri-Services,142284.28,2644130.9,Fixed Deposit,483481.16,795,1838125.58,1
33,12,25.73,710805.86,None,0,710805.86,Fixed Deposit,233155.07,850,706078.91,1
68,47,73.1,1202549.42,Poultry,215150.69,1417700.12,Land Title Deeds,4172037.82,599,1878118.14,1
51,31,97.9,2757909.69,Dairy,70469.33,2828379.02,Land Title Deeds,8442061.5,412,2480362.58,1
60,38,74.5,2427542.2,Government Pension,59585.61,2487127.81,None,0,692,1933210.86,0
69,49,94.75,2797516.04,None,0,2797516.04,Land Title Deeds,8445332.78,609,2460201.67,1
52,31,87.42,2449878.74,Dairy,110432.53,2560311.27,Gold/Jewelry,420718.22,693,2202308.59,1
48,25,33.21,887106.47,None,0,887106.47,Land Title Deeds,3197463.56,477,877079.02,1
39,18,16.23,365661.49,Dairy,78319.99,443981.48,Land Title Deeds,1212547.57,497,424582.65,1
53,32,48.17,1674241.35,Agri-Services,135729.68,1809971.03,Land Title Deeds,2530061.44,741,1222514.15,1
50,29,27.61,569321.57,Government Pension,52797.54,622119.11,Land Title Deeds,2345205.77,574,731396.28,1
56,32,14.81,474188.47,None,0,474188.47,Gold/Jewelry,991237.08,559,422431.64,1
28,7,97.5,2249378.36,Poultry,82522.49,2331900.85,Land Title Deeds,7472701.86,650,2485546.77,1
67,43,96.23,2907289.4,None,0,2907289.4,Tractor/Machinery,444628.42,686,2478362.56,1
50,26,19.59,574195.7,Poultry,223435.39,797631.09,Gold/Jewelry,220173.29,598,586564.95,1
31,11,49.01,1982797.58,Retail Shop,60762.08,2043559.65,Land Title Deeds,3215475.71,327,1242928.77,1
54,30,52.8,2297931.84,None,0,2297931.84,None,0,817,1343193.59,0
67,46,64.22,1686880.08,None,0,1686880.08,Gold/Jewelry,775227.94,660,1664614.74,1
51,29,29.43,1050141.52,Dairy,135522.74,1185664.26,Tractor/Machinery,1101717.32,566,789500.06,1
27,7,26.46,1127192.74,None,0,1127192.74,Tractor/Machinery,1028044.2,715,749776.71,1
36,16,88.42,1905685.08,None,0,1905685.08,None,0,763,2268562.43,0
53,29,48.67,1467238.38,None,0,1467238.38,Land Title Deeds,3557220.33,449,1232190,1
52,28,25.53,764413.52,None,0,764413.52,Land Title Deeds,1364990.7,516,674894.91,1
33,10,59.09,2043312.56,Retail Shop,65157.11,2108469.67,Land Title Deeds,3470983.49,549,1494004.25,1
23,0,34.37,634461.72,Government Pension,141833.57,776295.29,Land Title Deeds,2019446.72,850,907440.28,1
61,37,76.68,3409959.38,Agri-Services,125525.52,3535484.9,Land Title Deeds,4504717.47,469,1948518.64,1
24,0,70.36,1588142.55,Government Pension,44608.9,1632751.44,Land Title Deeds,6227333.91,639,1816945.86,1
26,2,63.25,895822.48,Dairy,161507.66,1057330.14,Land Title Deeds,4204082.4,624,1600103.85,1
44,21,22.18,878957.19,Dairy,197960.73,1076917.92,Fixed Deposit,351726.03,569,619488,1
66,46,49.64,1031288.98,Dairy,62704.71,1093993.69,Land Title Deeds,4943200.41,601,1318689.43,1
63,39,16.11,612699.56,Dairy,151644.18,764343.74,Fixed Deposit,129339.82,717,425572.02,1
42,20,87.26,2574751.64,Agri-Services,66311.68,2641063.32,Tractor/Machinery,1419610.81,712,2259712.5,1
54,34,71.45,1768616.35,None,0,1768616.35,Land Title Deeds,6463737.58,557,1840064.01,1
49,28,38.8,1330365.06,Agri-Services,85208.41,1415573.46,Fixed Deposit,105489.03,526,1015392.92,1
69,48,72.07,1617391.64,Dairy,136242.7,1753634.34,Fixed Deposit,129478.79,479,1863171.16,1
50,30,83.69,2958942.62,Retail Shop,79064.12,3038006.73,Land Title Deeds,4264133.34,613,2185077.99,1
49,29,41.2,1328025.28,Retail Shop,66390.48,1394415.75,Land Title Deeds,3606254.81,703,1051318.96,1
59,36,52,1227167.71,None,0,1227167.71,Gold/Jewelry,617027.68,747,1364159.93,1
53,30,36.49,1132804.38,Retail Shop,89746.94,1222551.33,Land Title Deeds,3038006.98,635,974266.02,1
42,21,66.32,2358569.49,Dairy,69006.3,2427575.79,Land Title Deeds,4100376.78,511,1723826.39,1
55,34,45.58,1413811.18,None,0,1413811.18,Land Title Deeds,2975932.57,772,1156576.02,1
71,47,30.75,383319.37,Dairy,58254.47,441573.83,Tractor/Machinery,1186518.32,658,796645.59,1
30,7,6.43,133984.39,Dairy,196019.74,330004.13,Fixed Deposit,446066.59,643,176019.73,1
70,48,40.96,1394518.85,Poultry,167553.51,1562072.36,Tractor/Machinery,856119.16,744,1047852.86,1
71,50,47.75,1970110.34,None,0,1970110.34,Tractor/Machinery,1175963.3,786,1243641.58,1
66,42,43.47,1217231.78,None,0,1217231.78,Land Title Deeds,3196488.38,782,1128567.31,1
49,26,4.12,87978.12,Dairy,139449.11,227427.23,Fixed Deposit,483176.28,672,160678.31,1
53,31,22.93,630787.71,Poultry,218348.91,849136.63,Land Title Deeds,1735909.74,491,607766.77,1
49,28,23.03,1033835.83,Dairy,147929.01,1181764.84,Gold/Jewelry,672916.32,556,638260.2,1
31,11,30.99,1422817.42,None,0,1422817.42,Land Title Deeds,2815753.73,731,862672.29,1
39,15,32.13,1055772.83,Dairy,105405.34,1161178.17,Fixed Deposit,474023.58,636,882871.39,1
66,42,9.34,371757.99,None,0,371757.99,Land Title Deeds,536914.96,713,274966.69,1
58,36,47.51,2164985.58,None,0,2164985.58,Land Title Deeds,3135979.39,459,1236282.07,1
39,15,46.04,1530703.85,Dairy,132037.83,1662741.67,Land Title Deeds,3889578.28,798,1192610.76,1
43,19,15.87,581765.86,Government Pension,129644.96,711410.82,Land Title Deeds,828708.62,670,456029.2,1
50,29,23.46,583438.99,Agri-Services,69974.54,653413.53,Land Title Deeds,1622248.55,592,670683.93,1
66,46,53.62,1816142.44,Retail Shop,137250.16,1953392.6,Land Title Deeds,5038629.46,741,1417901.63,1
75,50,72.2,1916602.5,None,0,1916602.5,Land Title Deeds,5916042.58,580,1900657.33,1
63,43,61.28,1625926.26,Poultry,241096.99,1867023.25,Fixed Deposit,144993.14,627,1631544.01,1
33,10,81.35,2680733.32,Retail Shop,78779.54,2759512.86,Land Title Deeds,7299117.78,611,2105839.48,1
23,0,44.78,1110788.54,Poultry,149046.24,1259834.78,Tractor/Machinery,1030233.88,477,1136862.3,0
64,40,52.13,1198064.64,Dairy,110149.76,1308214.4,Land Title Deeds,3879654.88,720,1394823.13,1
31,11,80.37,3595580.13,None,0,3595580.13,Fixed Deposit,235108.69,479,2050034.42,0
60,40,31.83,1058803.57,None,0,1058803.57,Land Title Deeds,2473618.36,548,877704.45,1
30,9,46.06,1580025.01,None,0,1580025.01,Land Title Deeds,2743692.66,492,1240852.21,1
27,4,54.67,1237270.17,Dairy,94511.12,1331781.28,Land Title Deeds,2745440.28,714,1455784.64,1
52,32,89.06,2698795.07,None,0,2698795.07,Land Title Deeds,5418691.74,473,2243361.9,1
46,24,5.94,146159.17,None,0,146159.17,Land Title Deeds,402350.56,457,168451.09,1
62,39,17.39,641122.91,None,0,641122.91,Land Title Deeds,1233696.9,592,463376.72,1
54,31,3.8,144169.16,None,0,144169.16,Land Title Deeds,283644.27,657,127627.72,1
33,9,39.46,1066510.7,Government Pension,103907.55,1170418.25,Land Title Deeds,3844677.54,549,1084558.97,1
70,48,20.69,688862.6,Agri-Services,57757.02,746619.63,Land Title Deeds,1256590.58,529,537497.22,1
50,28,54.01,2318475.33,None,0,2318475.33,Fixed Deposit,472092.48,673,1400381.11,1
48,25,25.72,726122.59,None,0,726122.59,Land Title Deeds,2522074.59,788,699564.55,1
30,9,99.81,3388284.73,None,0,3388284.73,Land Title Deeds,8599038.13,512,2593684.37,1
39,17,81.25,2454894.34,Poultry,139685.87,2594580.22,Fixed Deposit,166152.22,651,2067244.81,1
22,2,24.49,710212.17,Dairy,131719.54,841931.71,Land Title Deeds,2102072.19,673,692151.26,1
55,33,34.3,1623497.91,None,0,1623497.91,Land Title Deeds,2893612.48,746,869108.93,1
62,41,40.98,1240273.01,Dairy,191719,1431992.01,Land Title Deeds,3515064.65,514,1064532.36,1
44,20,49.32,1645927.88,Dairy,148393.78,1794321.66,Land Title Deeds,3534280.08,427,1317215.52,1
40,18,32.08,1123225.09,Dairy,64049.13,1187274.22,Tractor/Machinery,490172.33,534,817012.35,1
57,34,25.33,501538.09,Dairy,148935.59,650473.68,Land Title Deeds,1325100.07,671,729306.38,1
41,18,88.21,2835218.17,Dairy,154936.25,2990154.42,Land Title Deeds,4994405.56,634,2280282.03,1
70,50,70.97,2098299.13,Poultry,273624.5,2371923.63,Land Title Deeds,4712201.22,739,1853189.62,1
28,7,90.5,1251850.21,None,0,1251850.21,Land Title Deeds,5824470.14,627,2329485.65,1
25,1,81.15,2186269.75,None,0,2186269.75,Land Title Deeds,7041901.55,607,2091812.29,1
56,33,26.6,533408.69,Dairy,114523.18,647931.87,None,0,662,691228.27,0
66,42,90.28,1562347.68,Dairy,163768.09,1726115.77,Land Title Deeds,4648807.73,850,2324991.67,1
63,39,58.64,2408320.31,Retail Shop,47166.84,2455487.15,Land Title Deeds,3042684.54,821,1552755.77,1
44,23,78.66,2364433.03,None,0,2364433.03,Tractor/Machinery,473903.52,538,2063167.53,0
61,41,41.79,1358967.3,Dairy,177675.49,1536642.8,Land Title Deeds,4118137.24,723,1080840.52,1
44,22,8.8,215184.63,None,0,215184.63,Fixed Deposit,420136.01,655,234627.08,1
38,16,14.33,249602.31,Agri-Services,117982.02,367584.33,Land Title Deeds,807574.09,445,396770.08,1
45,22,12.64,467479.2,Dairy,82433.04,549912.24,Tractor/Machinery,867191.2,558,406930.37,1
73,50,66.26,2133508.74,Poultry,287936.39,2421445.13,Land Title Deeds,4423641.59,739,1722385.16,1
71,50,11.21,125544.41,Dairy,179804.38,305348.79,Land Title Deeds,888317.93,652,342209.33,1
27,7,79.18,2416298.6,Dairy,132379.4,2548677.99,Fixed Deposit,281653.65,681,2045702,1
75,50,73.75,2231875.5,Government Pension,124762.88,2356638.37,Tractor/Machinery,894995.96,574,1899008.67,1
30,9,87.98,2270000.79,None,0,2270000.79,Tractor/Machinery,1258991.1,722,2247724.09,1
60,40,14.65,235262.48,None,0,235262.48,Gold/Jewelry,226705.92,642,439717.95,1
48,25,88.07,2319428.79,Government Pension,146487.13,2465915.93,None,0,767,2237317.03,0
64,40,18.07,511523.42,Dairy,53104.43,564627.86,Land Title Deeds,1333552.3,642,530545.75,1
63,41,18.94,498111.2,Poultry,178707.75,676818.95,Land Title Deeds,1140627.04,486,494778.73,1
43,23,55.98,2094787.79,Dairy,92076.69,2186864.47,Land Title Deeds,4000759.09,731,1422434.84,1
38,14,58.67,2524762.88,Dairy,134358.21,2659121.1,Land Title Deeds,3349688.82,572,1494433.18,1
24,3,46.74,1387660.4,None,0,1387660.4,Gold/Jewelry,934396.82,595,1182079.59,0
39,15,63.19,1620888.98,Agri-Services,75992.96,1696881.93,Fixed Deposit,64018.01,756,1674856.4,1
70,50,36.51,969659.33,Dairy,54468.79,1024128.12,Land Title Deeds,2191060.37,460,931109.19,1
64,43,61.71,1706261.15,Poultry,250114.63,1956375.77,Land Title Deeds,5127077.8,303,1585948.13,1
40,17,78.33,3950104.01,Government Pension,42976.78,3993080.8,Tractor/Machinery,1015249.59,804,1987265.25,1
30,6,3.07,82163.35,None,0,82163.35,Land Title Deeds,196272.58,610,91897.37,1
53,31,49.92,1157314.01,Poultry,267135.75,1424449.76,Tractor/Machinery,1207642.82,651,1276396.89,1
69,48,52.56,1611155.37,Poultry,220324.18,1831479.56,Land Title Deeds,4810272.23,658,1355878.38,1
27,6,75.45,1991544.15,Dairy,135079.49,2126623.64,Land Title Deeds,7378314.9,577,1901230.84,1
34,11,56.54,2143145.55,None,0,2143145.55,Gold/Jewelry,735160.67,576,1481784.49,0
69,46,20.63,251342.14,Agri-Services,137804.72,389146.86,Land Title Deeds,1579979.24,592,547614.96,1
28,7,29.99,564834.26,None,0,564834.26,Fixed Deposit,87437.04,562,804326.18,0
72,48,69.37,2411196.51,None,0,2411196.51,Land Title Deeds,3573738.64,556,1827216.65,1
64,42,50.04,1711312.36,None,0,1711312.36,None,0,660,1343296,0
59,35,77.83,2006605.53,Dairy,66373.34,2072978.86,Land Title Deeds,7737351.09,714,1985771.82,1
60,39,24.72,1194442.16,Dairy,56199.4,1250641.56,Land Title Deeds,2130565.72,693,688944.22,1
25,5,55.34,1024456.57,None,0,1024456.57,Land Title Deeds,5452206.64,850,1471667.89,1
50,27,65.55,1769899.82,None,0,1769899.82,Land Title Deeds,5357900.44,572,1736013.08,1
47,27,19.73,594765.62,Poultry,173939.27,768704.89,Land Title Deeds,1696846.67,826,530524.91,1
34,12,12.91,290196.76,Dairy,173672.03,463868.79,Tractor/Machinery,664737.97,687,403603.14,1
39,18,92.71,2550901.15,None,0,2550901.15,Land Title Deeds,5777507.99,803,2383902.36,1
65,41,71.42,1836063.36,Agri-Services,69784.67,1905848.03,Land Title Deeds,5328840.97,603,1838806.41,1
72,50,57.45,2135155.13,Poultry,235044.93,2370200.06,Land Title Deeds,4448569.29,686,1496511.03,1
65,43,40.37,1194345.42,Agri-Services,116898.44,1311243.85,Land Title Deeds,3731302.32,717,1022726.52,1
37,17,16.08,546703.36,Retail Shop,108482.14,655185.49,Land Title Deeds,1017538.91,708,462134.5,1
73,49,17.02,527193.37,Poultry,151857.05,679050.42,Land Title Deeds,1253663.51,750,481320.68,1
34,11,9.33,416102.83,Agri-Services,104174.85,520277.68,Land Title Deeds,466764.26,695,259798.9,1
52,31,55.73,1232428.44,Dairy,194803.06,1427231.5,Land Title Deeds,4875519.29,654,1435017.64,1
24,2,30.57,706558.39,Dairy,138884.23,845442.62,None,0,775,818776.05,0
42,21,66.96,1612201.44,Agri-Services,112864.2,1725065.64,Land Title Deeds,5186844.23,560,1751814.49,1
73,50,13.33,260690.53,Retail Shop,57771.7,318462.23,Tractor/Machinery,813372.85,631,423335.28,1
22,0,11.02,176400.75,Government Pension,109728.05,286128.8,Land Title Deeds,938678.28,701,358853.44,1
48,24,63.42,2030963.33,Government Pension,106827.65,2137790.98,Land Title Deeds,3345306.31,840,1626648.81,1
51,27,4.58,156172.04,Dairy,166904.99,323077.03,Land Title Deeds,276406.58,641,129609.1,1
62,42,73.99,2100819.81,Government Pension,57888.23,2158708.03,Tractor/Machinery,805090.42,670,1941709.87,1
42,20,96.87,3722759.83,None,0,3722759.83,Land Title Deeds,6816323.95,655,2470570.49,1
63,43,17.64,448981.06,Government Pension,142350.94,591332.01,Land Title Deeds,956362.03,597,518039.76,1
48,25,93.55,2816227.52,None,0,2816227.52,Land Title Deeds,9202427.11,523,2418091.14,1
60,39,31.84,802858.15,Retail Shop,102823.01,905681.16,Land Title Deeds,2431969.57,399,825467.45,1
50,30,33.95,1164415.96,Agri-Services,145067.22,1309483.18,Gold/Jewelry,816782.58,535,922423.96,1
27,5,8.24,316606.58,Poultry,83206.67,399813.25,Land Title Deeds,753460.62,688,227645.73,1
62,41,68.07,2358846.03,None,0,2358846.03,Fixed Deposit,269383.18,746,1724263.14,1
46,22,24.98,650667.8,Agri-Services,77952.63,728620.44,Land Title Deeds,1404854.36,531,691898.7,1
60,36,16.89,577981.65,Dairy,178627.94,756609.59,Land Title Deeds,1026029.71,701,492602.75,1
21,1,41.81,1442334.4,None,0,1442334.4,Tractor/Machinery,807816.79,674,1106125.44,0
26,2,75.04,1580044.08,None,0,1580044.08,Land Title Deeds,7029517.44,630,1971236.6,1
63,42,25.5,887864.96,None,0,887864.96,Tractor/Machinery,1119380.84,558,662370.12,1
69,46,56.76,2171804.97,Dairy,112829.61,2284634.58,Land Title Deeds,3822179.89,397,1462717.66,1
61,41,57.98,807792.68,Government Pension,114736.56,922529.24,Land Title Deeds,3816198,514,1531205.37,1
25,2,83.97,1296725.33,Dairy,153250.56,1449975.89,Tractor/Machinery,768438.4,731,2114548.73,1
69,46,53.88,1062479.69,Dairy,123713.69,1186193.38,Land Title Deeds,3314023.45,593,1385081.75,1
36,15,6.8,127303,None,0,127303,Land Title Deeds,624783.82,444,198751.17,1
29,5,79.81,2493958.31,None,0,2493958.31,Land Title Deeds,7001370.03,610,2051784.42,1
